institution,total_publications,weighted_degree_centrality
https://openalex.org/I27837315,19,0
https://openalex.org/I79576946,19,0
https://openalex.org/I1334819555,19,0
https://openalex.org/I36258959,16,0
https://openalex.org/I4210087915,16,0
https://openalex.org/I2801345345,15,0
https://openalex.org/I45129253,14,0
https://openalex.org/I136199984,14,0
https://openalex.org/I3019308854,13,0
https://openalex.org/I921990950,13,0
https://openalex.org/I867280407,13,0
https://openalex.org/I1343551460,13,0
https://openalex.org/I4210089486,12,0
https://openalex.org/I1294671590,12,0
https://openalex.org/I160606119,11,0
https://openalex.org/I1316902750,11,0
https://openalex.org/I4210167126,11,0
https://openalex.org/I1289437631,11,0
https://openalex.org/I4390039236,10,0
https://openalex.org/I165932596,10,0
